Date,Name,FPTS,PTS,3P,AST,TRB,STL,BLK,TOV,DD,TD
20171020,Cedi Osman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171020,Kevin Love,44.5,15.0,1.0,0.0,11.0,0.0,0.0,2.0,1.0,0.0
20171020,Tristan Thompson,18.0,5.0,0.0,2.0,6.0,0.0,0.0,2.0,0.0,0.0
20171020,Channing Frye,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171020,Yogi Ferrell,22.5,9.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
20171020,Harrison Barnes,31.0,14.0,0.0,3.0,7.0,1.0,0.0,2.0,0.0,0.0
20171020,Dorian Finney-Smith,19.5,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0
20171020,Maxi Kleber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171020,Dirk Nowitzki,25.25,10.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
20171020,Nerlens Noel,24.0,16.0,0.0,0.0,11.0,1.0,3.0,0.0,1.0,0.0
20171020,Salah Mejri,13.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171020,Dwight Powell,10.0,6.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
20171020,Jeff Withey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171020,Reggie Jackson,42.5,13.0,0.0,8.0,5.0,1.0,0.0,0.0,0.0,0.0
20171020,Avery Bradley,24.5,15.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0
20171020,Luke Kennard,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171020,Langston Galloway,9.5,16.0,3.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0
20171020,Tobias Harris,22.75,27.0,4.0,3.0,10.0,0.0,0.0,1.0,1.0,0.0
20171020,Stanley Johnson,19.25,2.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0
20171020,Andre Drummond,28.5,8.0,0.0,4.0,13.0,1.0,2.0,0.0,0.0,0.0
20171020,Jon Leuer,14.75,4.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0
20171020,Eric Moreland,2.75,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
20171020,Henry Ellenson,0.0,13.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0
20171020,Klay Thompson,46.0,16.0,4.0,3.0,6.0,2.0,2.0,1.0,0.0,0.0
20171020,Stephen Curry,45.25,22.0,3.0,4.0,5.0,1.0,0.0,2.0,0.0,0.0
20171020,Nick Young,8.25,23.0,6.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
20171020,Shaun Livingston,10.75,6.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0
20171020,Kevin Durant,50.0,20.0,2.0,7.0,5.0,0.0,4.0,8.0,0.0,0.0
20171020,Patrick McCaw,0.0,4.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0
20171020,Draymond Green,26.25,9.0,1.0,13.0,11.0,0.0,0.0,2.0,1.0,0.0
20171020,Zaza Pachulia,22.25,6.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0
20171020,David West,15.75,4.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
20171020,Jordan Bell,8.5,8.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
20171020,JaVale McGee,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171020,Victor Oladipo,28.5,22.0,2.0,4.0,5.0,4.0,0.0,3.0,0.0,0.0
20171020,Darren Collison,26.5,21.0,1.0,11.0,3.0,2.0,0.0,2.0,1.0,0.0
20171020,Cory Joseph,9.5,11.0,1.0,4.0,3.0,2.0,1.0,1.0,0.0,0.0
20171020,Thaddeus Young,20.25,17.0,1.0,3.0,11.0,2.0,2.0,2.0,1.0,0.0
20171020,Bojan Bogdanovic,15.5,14.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
20171020,Lance Stephenson,9.5,16.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0
20171020,Damien Wilkins,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
20171020,Domantas Sabonis,15.0,16.0,0.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0
20171020,Al Jefferson,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171020,Ike Anigbogu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20171020,Lonzo Ball,59.75,3.0,1.0,4.0,9.0,1.0,1.0,2.0,0.0,0.0
20171020,Jordan Clarkson,21.5,18.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0,0.0
20171020,Alex Caruso,3.75,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0
