Name,Pos,Date,Salary,Starter,Team,FPTS,Value,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FTA,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,DD,TD,USG_perc,DRtg,ORtg,AST_perc,DRB_perc,ORB_perc,BLK_perc,TOV_perc,STL_perc,eFG_perc
Dzanan Musa,SF/PF,20181017,3000.0,0,BRK,0.0,0.0,0,DET,103,BRK,100,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Theo Pinson,SG/SF,20181017,3000.0,0,BRK,0.0,0.0,0,DET,103,BRK,100,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jarrett Allen,C,20181017,5700.0,1,BRK,39.0,6.842105263157895,0,DET,103,BRK,100,30.15,6,10,0.6,2,3,0.667,3,4,0.75,2,8,10,0,0,4,2,4,17,1,0,20.2,98.0,118.0,0.0,26.5,8.6,9.4,14.5,0.0,0.7
Ed Davis,PF/C,20181017,3900.0,0,BRK,22.25,5.705128205128205,0,DET,103,BRK,100,17.6,4,4,1.0,0,0,0.0,0,1,0.0,0,7,7,3,1,0,2,2,8,0,0,16.2,93.0,116.0,28.1,39.8,0.0,0.0,31.1,2.7,1.0
Kenneth Faried,PF/C,20181017,3500.0,0,BRK,0.0,0.0,0,DET,103,BRK,100,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kemba Walker,PG,20181017,7600.0,1,CHO,55.5,7.302631578947369,1,MIL,113,CHO,112,38.65,15,29,0.517,7,13,0.5379999999999999,4,5,0.8,1,1,2,4,2,0,3,0,41,0,0,37.7,114.0,121.0,22.2,2.9,2.3,0.0,8.8,2.4,0.638
Malik Monk,PG/SG,20181017,4200.0,0,CHO,34.0,8.095238095238095,1,MIL,113,CHO,112,33.58,7,16,0.438,4,8,0.5,0,0,0.0,0,4,4,2,1,2,0,1,18,0,0,20.3,110.0,115.0,9.2,13.3,0.0,5.6,0.0,1.4,0.563
Tony Parker,PG,20181017,3500.0,0,CHO,21.25,6.071428571428571,1,MIL,113,CHO,112,19.8,4,8,0.5,0,0,0.0,0,0,0.0,0,3,3,7,0,0,2,2,8,0,0,21.5,115.0,107.0,54.2,16.9,0.0,0.0,20.0,0.0,0.5
Dwayne Bacon,SG,20181017,3200.0,0,CHO,0.0,0.0,1,MIL,113,CHO,112,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicolas Batum,SG/SF,20181017,6100.0,1,CHO,25.75,4.221311475409836,1,MIL,113,CHO,112,31.82,2,8,0.25,1,4,0.25,0,0,0.0,1,6,7,3,2,2,2,1,5,0,0,13.4,104.0,71.0,11.9,21.1,2.7,5.9,20.0,2.9,0.313
